"Retrieved from https://en.wikipedia.org/wiki/Chicago_City_Council on November 6, 2018"


Ward,Name,Took Office,Party
1,Proco Joe Moreno,2010*,Dem
2,Brian Hopkins,2015,Dem
3,Pat Dowell,2007,Dem
4,Sophia King,2016*,Dem
5,Leslie Hairston,1999,Dem
6,Roderick Sawyer,2011,Dem
7,Gregory Mitchell,2015,Dem
8,Michelle A. Harris,2006*,Dem
9,Anthony Beale,1999,Dem
10,Susie Sadlowski Garza,2015,Dem
11,Patrick Daley Thompson,2015,Dem
12,George Cardenas,2003,Dem
13,Marty Quinn,2011,Dem
14,Edward M. Burke,1969,Dem
15,Raymond Lopez,2015,Dem
16,Toni Foulkes,2007,Dem
17,David H. Moore,2015,Dem
18,Derrick Curtis,2015,Dem
19,Matthew O'Shea,2011,Dem
20,Willie Cochran,2007,Dem
21,Howard Brookins Jr.,2003,Dem
22,Ricardo Muñoz,1993*,Dem
23,Silvana Tabares,2018*,Dem
24,"Michael Scott, Jr.",2015,Dem
25,Daniel Solis,1996*,Dem
26,Roberto Maldonado,2009*,Dem
27,"Walter Burnett, Jr.",1995,Dem
28,Jason Ervin,2011*,Dem
29,Chris Taliaferro,2015,Dem
30,Ariel Reboyras,2003,Dem
31,Milly Santiago,2015,Dem
32,Scott Waguespack,2007,Dem
33,Deb Mell,2013*,Dem
34,Carrie Austin,1994*,Dem
35,Carlos Ramirez-Rosa,2015,Dem
36,Gilbert Villegas,2015,Dem
37,Emma Mitts,2000*,Dem
38,Nicholas Sposato,2011,Ind
39,Margaret Laurino,1994*,Dem
40,Patrick J. O'Connor,1983,Dem
41,Anthony Napolitano,2015,Rep
42,Brendan Reilly,2007,Dem
43,Michele Smith,2011,Dem
44,Thomas M. Tunney,2002*,Dem
45,John Arena,2011,Dem
46,James Cappleman,2011,Dem
47,Ameya Pawar,2011,Dem
48,Harry Osterman,2011,Dem
49,Joe Moore,1991,Dem
50,Debra Silverstein,2011,Dem
