latitude,longitude,temperature,windAngle,windSpeed,elevation
-34.067,-56.238,20.0,60.0,4.1,68.0
-34.067,-56.238,22.2,40.0,5.1,68.0
-34.067,-56.238,24.0,40.0,6.2,68.0
-34.067,-56.238,25.7,30.0,5.7,68.0
-34.067,-56.238,28.7,30.0,5.1,68.0
-34.067,-56.238,30.2,40.0,5.7,68.0
-34.067,-56.238,32.5,40.0,5.7,68.0
-34.067,-56.238,31.0,30.0,5.7,68.0
-34.067,-56.238,32.5,30.0,4.1,68.0
-34.067,-56.238,24.6,50.0,2.6,68.0
-34.067,-56.238,26.0,50.0,3.1,68.0
-34.067,-56.238,27.6,40.0,2.1,68.0
-34.067,-56.238,26.0,360.0,1.0,68.0
-34.067,-56.238,27.2,10.0,2.1,68.0
-34.067,-56.238,30.6,330.0,1.5,68.0
-34.067,-56.238,30.5,330.0,2.6,68.0
-34.067,-56.238,28.7,330.0,3.1,68.0
-34.067,-56.238,24.0,300.0,10.8,68.0
-34.067,-56.238,18.7,180.0,3.1,68.0
-34.067,-56.238,18.6,180.0,3.1,68.0
-34.067,-56.238,19.6,190.0,5.7,68.0
-34.067,-56.238,20.6,170.0,4.6,68.0
-34.067,-56.238,21.6,180.0,5.7,68.0
-34.067,-56.238,21.0,170.0,4.1,68.0
-34.067,-56.238,21.6,160.0,3.6,68.0
-34.067,-56.238,21.7,180.0,4.1,68.0
-34.067,-56.238,22.6,180.0,5.7,68.0
-34.067,-56.238,12.7,20.0,2.6,68.0
-34.067,-56.238,17.5,30.0,3.6,68.0
-34.067,-56.238,20.0,20.0,3.6,68.0
-34.067,-56.238,22.6,330.0,2.1,68.0
-34.067,-56.238,24.5,300.0,1.5,68.0
-34.067,-56.238,24.7,320.0,2.1,68.0
-34.067,-56.238,26.2,300.0,1.0,68.0
-34.067,-56.238,27.5,270.0,1.5,68.0
-34.067,-56.238,27.5,80.0,2.6,68.0
-34.067,-56.238,16.0,20.0,2.1,68.0
-34.067,-56.238,19.6,30.0,3.6,68.0
-34.067,-56.238,22.6,30.0,5.7,68.0
-34.067,-56.238,24.6,360.0,5.1,68.0
-34.067,-56.238,26.6,40.0,4.6,68.0
-34.067,-56.238,27.5,40.0,4.6,68.0
-34.067,-56.238,27.7,30.0,5.7,68.0
-34.067,-56.238,28.6,50.0,5.1,68.0
-34.067,-56.238,29.0,30.0,4.6,68.0
-34.067,-56.238,19.6,30.0,3.6,68.0
-34.067,-56.238,22.2,20.0,6.7,68.0
-34.067,-56.238,24.7,10.0,6.2,68.0
-34.067,-56.238,27.0,20.0,5.1,68.0
-34.067,-56.238,28.7,20.0,6.2,68.0
-34.067,-56.238,29.6,30.0,6.7,68.0
-34.067,-56.238,30.7,20.0,5.7,68.0
-34.067,-56.238,31.5,20.0,4.6,68.0
-34.067,-56.238,31.6,10.0,3.6,68.0
-34.067,-56.238,21.0,140.0,4.1,68.0
-34.067,-56.238,20.6,130.0,4.6,68.0
-34.067,-56.238,20.6,140.0,3.6,68.0
-34.067,-56.238,21.2,140.0,4.6,68.0
-34.067,-56.238,21.6,230.0,3.1,68.0
-34.067,-56.238,22.5,270.0,1.5,68.0
-34.067,-56.238,22.6,230.0,6.7,68.0
-34.067,-56.238,22.2,250.0,6.2,68.0
-34.067,-56.238,21.0,210.0,7.2,68.0
-34.067,-56.238,20.2,20.0,1.5,68.0
-34.067,-56.238,23.2,360.0,2.6,68.0
-34.067,-56.238,25.6,360.0,2.1,68.0
-34.067,-56.238,28.2,300.0,3.1,68.0
-34.067,-56.238,28.6,280.0,2.6,68.0
-34.067,-56.238,29.7,330.0,2.1,68.0
-34.067,-56.238,31.2,330.0,1.5,68.0
-34.067,-56.238,31.6,20.0,1.5,68.0
-34.067,-56.238,31.7,30.0,2.1,68.0
-34.067,-56.238,22.5,20.0,1.0,68.0
-34.067,-56.238,24.0,30.0,2.1,68.0
-34.067,-56.238,25.6,360.0,1.5,68.0
-34.067,-56.238,27.0,340.0,1.5,68.0
-34.067,-56.238,26.5,10.0,4.1,68.0
-34.067,-56.238,28.0,360.0,3.1,68.0
-34.067,-56.238,28.6,360.0,4.1,68.0
