date,count,day_of_week,month_of_year,holiday
2011-03-01,8583,1.0,2.0,0.0
2011-03-02,8561,2.0,2.0,0.0
2011-03-03,8406,3.0,2.0,0.0
2011-03-04,7921,4.0,2.0,0.0
2011-03-05,5597,5.0,2.0,0.0
2011-03-06,6400,6.0,2.0,0.0
2011-03-07,8043,0.0,2.0,0.0
2011-03-08,8666,1.0,2.0,0.0
2011-03-09,8344,2.0,2.0,0.0
2011-03-10,8344,3.0,2.0,0.0
2011-03-11,8017,4.0,2.0,0.0
2011-03-12,5756,5.0,2.0,0.0
2011-03-13,6294,6.0,2.0,0.0
2011-03-14,8210,0.0,2.0,0.0
2011-03-15,8882,1.0,2.0,0.0
2011-03-16,8849,2.0,2.0,0.0
2011-03-17,8611,3.0,2.0,0.0
2011-03-18,8160,4.0,2.0,0.0
2011-03-19,6068,5.0,2.0,0.0
2011-03-20,6485,6.0,2.0,0.0
2011-03-21,8596,0.0,2.0,0.0
2011-03-22,9240,1.0,2.0,0.0
2011-03-23,9005,2.0,2.0,0.0
2011-03-24,8653,3.0,2.0,0.0
2011-03-25,8288,4.0,2.0,0.0
2011-03-26,6317,5.0,2.0,0.0
2011-03-27,6793,6.0,2.0,0.0
2011-03-28,9369,0.0,2.0,0.0
2011-03-29,8589,1.0,2.0,0.0
2011-03-30,9100,2.0,2.0,0.0
2011-03-31,9013,3.0,2.0,0.0
2011-04-01,8439,4.0,3.0,0.0
2011-04-02,6142,5.0,3.0,0.0
2011-04-03,6703,6.0,3.0,0.0
2011-04-04,9516,0.0,3.0,0.0
2011-04-05,9736,1.0,3.0,0.0
2011-04-06,9370,2.0,3.0,0.0
2011-04-07,9178,3.0,3.0,0.0
2011-04-08,8862,4.0,3.0,0.0
2011-04-09,6183,5.0,3.0,0.0
2011-04-10,6798,6.0,3.0,0.0
2011-04-11,9661,0.0,3.0,0.0
2011-04-12,9498,1.0,3.0,0.0
2011-04-13,9668,2.0,3.0,0.0
2011-04-14,9651,3.0,3.0,0.0
2011-04-15,9052,4.0,3.0,0.0
2011-04-16,6559,5.0,3.0,0.0
2011-04-17,6826,6.0,3.0,0.0
2011-04-18,9243,0.0,3.0,0.0
2011-04-19,9787,1.0,3.0,0.0
2011-04-20,9259,2.0,3.0,0.0
2011-04-21,9090,3.0,3.0,0.0
