observation_date,S4248SM144SCEN
1992-01-01,4302
1992-02-01,4323
1992-03-01,4199
1992-04-01,4397
1992-05-01,4159
1992-06-01,4091
1992-07-01,4109
1992-08-01,4116
1992-09-01,4093
1992-10-01,4095
1992-11-01,4169
1992-12-01,4169
1993-01-01,4124
1993-02-01,4107
1993-03-01,4168
1993-04-01,4254
1993-05-01,4290
1993-06-01,4163
1993-07-01,4274
1993-08-01,4253
1993-09-01,4312
1993-10-01,4296
1993-11-01,4221
1993-12-01,4233
1994-01-01,4218
1994-02-01,4237
1994-03-01,4343
1994-04-01,4357
1994-05-01,4264
1994-06-01,4392
1994-07-01,4381
1994-08-01,4290
1994-09-01,4348
1994-10-01,4357
1994-11-01,4417
1994-12-01,4411
1995-01-01,4417
1995-02-01,4339
1995-03-01,4256
1995-04-01,4276
1995-05-01,4290
1995-06-01,4413
1995-07-01,4305
1995-08-01,4476
1995-09-01,4393
1995-10-01,4447
1995-11-01,4492
1995-12-01,4489
1996-01-01,4635
1996-02-01,4697
1996-03-01,4588
1996-04-01,4633
1996-05-01,4685
1996-06-01,4672
1996-07-01,4666
1996-08-01,4726
1996-09-01,4571
1996-10-01,4624
1996-11-01,4691
1996-12-01,4604
1997-01-01,4657
1997-02-01,4711
1997-03-01,4810
1997-04-01,4626
1997-05-01,4860
1997-06-01,4757
1997-07-01,4916
1997-08-01,4921
1997-09-01,4985
1997-10-01,4905
1997-11-01,4880
1997-12-01,5165
1998-01-01,4885
1998-02-01,4925
1998-03-01,5049
1998-04-01,5090
1998-05-01,5094
1998-06-01,4929
1998-07-01,5132
1998-08-01,5061
1998-09-01,5471
1998-10-01,5327
1998-11-01,5257
1998-12-01,5354
1999-01-01,5427
1999-02-01,5415
1999-03-01,5387
1999-04-01,5483
1999-05-01,5510
1999-06-01,5539
1999-07-01,5532
1999-08-01,5625
1999-09-01,5799
1999-10-01,5843
1999-11-01,5836
1999-12-01,5724
2000-01-01,5757
2000-02-01,5731
2000-03-01,5839
2000-04-01,5825
2000-05-01,5877
2000-06-01,5979
2000-07-01,5828
2000-08-01,6016
2000-09-01,6113
2000-10-01,6150
2000-11-01,6111
2000-12-01,6088
2001-01-01,6360
2001-02-01,6300
2001-03-01,5935
2001-04-01,6204
2001-05-01,6164
2001-06-01,6231
2001-07-01,6336
2001-08-01,6179
2001-09-01,6120
2001-10-01,6134
2001-11-01,6381
2001-12-01,6521
2002-01-01,6333
2002-02-01,6541
2002-03-01,6692
2002-04-01,6591
2002-05-01,6554
2002-06-01,6596
2002-07-01,6620
2002-08-01,6577
2002-09-01,6625
2002-10-01,6441
2002-11-01,6584
2002-12-01,6923
2003-01-01,6600
2003-02-01,6742
2003-03-01,6831
2003-04-01,6782
2003-05-01,6714
2003-06-01,6736
2003-07-01,7146
2003-08-01,7027
2003-09-01,6896
2003-10-01,7107
2003-11-01,6997
2003-12-01,7075
2004-01-01,7235
2004-02-01,7072
2004-03-01,6968
2004-04-01,7144
2004-05-01,7232
2004-06-01,7095
2004-07-01,7181
2004-08-01,7146
2004-09-01,7230
2004-10-01,7327
2004-11-01,7328
2004-12-01,7425
2005-01-01,7520
2005-02-01,7551
2005-03-01,7572
2005-04-01,7701
2005-05-01,7819
2005-06-01,7770
2005-07-01,7627
2005-08-01,7816
2005-09-01,7718
2005-10-01,7772
2005-11-01,7788
2005-12-01,7576
2006-01-01,7940
2006-02-01,8027
2006-03-01,7884
2006-04-01,8043
2006-05-01,7995
2006-06-01,8218
2006-07-01,8159
2006-08-01,8331
2006-09-01,8320
2006-10-01,8397
2006-11-01,8603
2006-12-01,8515
2007-01-01,8336
2007-02-01,8233
2007-03-01,8475
2007-04-01,8310
2007-05-01,8583
2007-06-01,8645
2007-07-01,8713
2007-08-01,8636
2007-09-01,8791
2007-10-01,8984
2007-11-01,8867
2007-12-01,9059
2008-01-01,8911
2008-02-01,8701
2008-03-01,8956
2008-04-01,9095
2008-05-01,9102
2008-06-01,9170
2008-07-01,9194
2008-08-01,9164
2008-09-01,9337
2008-10-01,9186
2008-11-01,9029
2008-12-01,9025
2009-01-01,9486
2009-02-01,9219
2009-03-01,9059
2009-04-01,9171
2009-05-01,9114
2009-06-01,8926
2009-07-01,9150
2009-08-01,9105
2009-09-01,9011
2009-10-01,8743
2009-11-01,8958
2009-12-01,8969
2010-01-01,8984
2010-02-01,9068
2010-03-01,9335
2010-04-01,9481
2010-05-01,9132
2010-06-01,9192
2010-07-01,9123
2010-08-01,9091
2010-09-01,9155
2010-10-01,9556
2010-11-01,9477
2010-12-01,9436
2011-01-01,9519
2011-02-01,9667
2011-03-01,9668
2011-04-01,9628
2011-05-01,9376
2011-06-01,9830
2011-07-01,9626
2011-08-01,9802
2011-09-01,9858
2011-10-01,9838
2011-11-01,9846
2011-12-01,9789
2012-01-01,9955
2012-02-01,9909
2012-03-01,9897
2012-04-01,9909
2012-05-01,10127
2012-06-01,10175
2012-07-01,10129
2012-08-01,10251
2012-09-01,10227
2012-10-01,10174
2012-11-01,10402
2012-12-01,10664
2013-01-01,10585
2013-02-01,10661
2013-03-01,10649
2013-04-01,10676
2013-05-01,10863
2013-06-01,10690
2013-07-01,11007
2013-08-01,10835
2013-09-01,10900
2013-10-01,10749
2013-11-01,10946
2013-12-01,10864
2014-01-01,10726
2014-02-01,10821
2014-03-01,10789
2014-04-01,10892
2014-05-01,10892
2014-06-01,10789
2014-07-01,10662
2014-08-01,10767
2014-09-01,10779
2014-10-01,10922
2014-11-01,10662
2014-12-01,10808
2015-01-01,10865
2015-02-01,10740
2015-03-01,10917
2015-04-01,10933
2015-05-01,11074
2015-06-01,11108
2015-07-01,11493
2015-08-01,11386
2015-09-01,11502
2015-10-01,11487
2015-11-01,11375
2015-12-01,11445
2016-01-01,11787
2016-02-01,11792
2016-03-01,11649
2016-04-01,11810
2016-05-01,11496
2016-06-01,11600
2016-07-01,11503
2016-08-01,11715
2016-09-01,11732
2016-10-01,11885
2016-11-01,12092
2016-12-01,11857
2017-01-01,11881
2017-02-01,12355
2017-03-01,12027
2017-04-01,12183
2017-05-01,12170
2017-06-01,12387
2017-07-01,12041
2017-08-01,12139
2017-09-01,11861
2017-10-01,12202
2017-11-01,12178
2017-12-01,12126
2018-01-01,11942
2018-02-01,12206
2018-03-01,12362
2018-04-01,12287
2018-05-01,12497
2018-06-01,12621
2018-07-01,12729
2018-08-01,12689
2018-09-01,12874
2018-10-01,12776
2018-11-01,12995
2018-12-01,13291
2019-01-01,13364
2019-02-01,13135
2019-03-01,13123
2019-04-01,13110
2019-05-01,13152
2019-06-01,13201
2019-07-01,13354
2019-08-01,13427
2019-09-01,13472
2019-10-01,13436
2019-11-01,13430
2019-12-01,13588
2020-01-01,13533
2020-02-01,13575
2020-03-01,13867
2020-04-01,12319
2020-05-01,13909
2020-06-01,13982
2020-07-01,15384
2020-08-01,15701
2020-09-01,15006
2020-10-01,15741
2020-11-01,14934
2020-12-01,13061
2021-01-01,15743
